SEXO,EDAD,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035,a2036,a2037,a2038,a2039,a2040,a2041,a2042,a2043,a2044,a2045,a2046,a2047,a2048,a2049,a2050
2,1,150218,146365,142358,140185,137636,134977,132217,129707,127717,124977,123339,121248,118387,116358,114546,114593,116899,120467,123632,124398,123781,121588,119791,120463,122644,120409,114833,112568,113670,115460,116515,116614,116207,115567,114756,113799,112721,111548,110304,109009,108530,107469,106400,105349,104344,103409,102561,101810,101162,100624,100196,99868,99617,99414,99233,99057,98874,98677,98462
2,2,147866,150096,146253,142253,140085,137541,134888,132133,129627,127641,124907,123273,121267,118420,116426,114635,114713,117012,120579,123819,124624,123862,121712,119947,120710,123219,121379,116033,113756,114157,115585,116562,116644,116234,115592,114782,113826,112749,111576,110333,109038,108560,107500,106432,105382,104377,103443,102595,101844,101197,100659,100232,99904,99653,99450,99270,99094,98911,98715
2,3,145832,147788,150020,146181,142185,140021,137479,134829,132077,129573,127590,124858,123308,121314,118502,116529,114769,114840,117138,120781,124058,124731,124015,121899,120232,121349,124211,122689,117331,114298,114308,115651,116610,116687,116276,115635,114824,113868,112791,111620,110377,109083,108605,107545,106477,105427,104423,103489,102642,101892,101245,100707,100280,99952,99702,99499,99319,99143,98960
2,4,138486,145780,147739,149974,146139,142148,139988,137450,134803,132053,129554,127575,124902,123363,121402,118610,116668,114901,114972,117345,121022,124170,124887,124203,122183,120864,122315,125499,123963,117865,114451,114378,115703,116657,116734,116321,115681,114870,113915,112838,111667,110424,109131,108653,107594,106526,105477,104473,103539,102692,101942,101295,100758,100331,100003,99753,99550,99370,99195
2,5,133041,138446,145741,147703,149941,146112,142126,139970,137433,134790,132044,129550,127622,124961,123454,121512,118749,116799,115032,115176,117583,121133,124323,125070,124479,122793,121790,123557,126728,124478,118014,114520,114430,115750,116702,116779,116367,115727,114916,113961,112885,111714,110472,109179,108702,107642,106575,105526,104522,103588,102742,101992,101345,100808,100381,100054,99803,99601,99421
2,6,129701,133006,138413,145710,147676,149918,146095,142114,139959,137426,134787,132047,129598,127681,125051,123562,121649,118879,116929,115232,115411,117692,121282,124502,125337,125069,123690,122989,124743,127227,124622,118081,114571,114477,115795,116747,116824,116412,115772,114962,114007,112931,111760,110518,109225,108748,107689,106622,105573,104569,103636,102790,102040,101393,100856,100430,100103,99852,99650
2,7,128455,129671,132978,138387,145688,147658,149906,146087,142110,139959,137430,134798,132096,129658,127770,125158,123696,121775,119006,117124,115460,115516,117835,121452,124756,125897,125938,124829,124117,125216,127363,124685,118129,114615,114520,115838,116790,116867,116455,115815,115005,114051,112975,111805,110563,109270,108793,107734,106668,105619,104616,103682,102836,102086,101440,100903,100477,100150,99899
2,8,128726,128427,129646,132957,138371,145676,147651,149903,146088,142114,139968,137445,134847,132154,129744,127873,125287,123818,121897,119193,117342,115561,115652,117998,121694,125290,126733,127025,125904,124568,125346,127422,124729,118170,114656,114559,115878,116830,116907,116495,115856,115046,114092,113017,111846,110605,109312,108836,107777,106710,105662,104659,103726,102879,102130,101484,100947,100521,100194
2,9,129231,128701,128406,129629,132945,138364,145673,147652,149906,146094,142127,139987,137491,134903,132237,129843,127996,125403,123933,122074,119401,117434,115687,115804,118224,122193,126071,127750,128031,126325,124688,125400,127463,124765,118206,114692,114596,115915,116867,116944,116532,115893,115084,114129,113055,111884,110643,109351,108875,107816,106750,105701,104698,103766,102920,102170,101524,100988,100561
2,10,128772,129207,128681,128392,129620,132942,138365,145677,147658,149915,146108,142148,140031,137543,134980,132329,129958,128104,125511,124100,122269,119487,117553,115829,116018,118697,122929,127035,128704,128430,126437,124737,125437,127495,124798,118240,114725,114629,115948,116900,116978,116566,115927,115118,114164,113089,111919,110679,109386,108910,107852,106786,105738,104735,103802,102957,102207,101562,101025
