year,servicio,sexo,edad,cases,py
2016,Maule,T,0-5,10,53923.5
2016,Maule,F,5-15,11,57636
2016,Maule,M,5-15,15,60753.5
2016,Maule,T,5-15,26,118389.5
2016,Maule,F,15-25,16,65805
2016,Maule,M,15-25,9,63406
2016,Maule,T,15-25,25,129211
2016,Maule,F,25-35,25,64744.5
2016,Maule,M,25-35,13,53139
2016,Maule,T,25-35,38,117883.5
2016,Maule,F,35-45,36,60721
2016,Maule,M,35-45,20,50032
2016,Maule,T,35-45,56,110753
2016,Maule,F,45-55,40,64396
2016,Maule,M,45-55,28,57336.5
2016,Maule,T,45-55,68,121732.5
2016,Maule,F,55-65,39,49990
2016,Maule,M,55-65,25,46524.5
2016,Maule,T,55-65,64,96514.5
2016,Maule,F,65-75,15,33810.5
2016,Maule,M,65-75,20,31255.5
2016,Maule,T,65-75,35,65066
2016,Maule,F,>75,2,25021.5
2016,Maule,M,>75,7,18568
2016,Maule,T,>75,9,43589.5
2016,Ñuble,F,0-5,3,11470
2016,Ñuble,M,0-5,2,11885
2016,Ñuble,T,0-5,5,23355
2016,Ñuble,F,5-15,10,25872
2016,Ñuble,M,5-15,7,26825.5
2016,Ñuble,T,5-15,17,52697.5
2016,Ñuble,F,15-25,10,30445
2016,Ñuble,M,15-25,8,29377
2016,Ñuble,T,15-25,18,59822
2016,Ñuble,F,25-35,10,29383.5
2016,Ñuble,M,25-35,6,24413.5
2016,Ñuble,T,25-35,16,53797
2016,Ñuble,F,35-45,16,27814.5
2016,Ñuble,M,35-45,16,22838.5
2016,Ñuble,T,35-45,32,50653
2016,Ñuble,F,45-55,22,30630
2016,Ñuble,M,45-55,21,28043.5
2016,Ñuble,T,45-55,43,58673.5
2016,Ñuble,F,55-65,15,24046.5
2016,Ñuble,M,55-65,21,22368
2016,Ñuble,T,55-65,36,46414.5
2016,Ñuble,F,65-75,6,16848.5
2016,Ñuble,M,65-75,23,15119.5
2016,Ñuble,T,65-75,29,31968
2016,Ñuble,F,>75,5,13074
2016,Ñuble,M,>75,5,9354
2016,Ñuble,T,>75,10,22428
2016,Talcahuano,F,0-5,0,8844.5
2016,Talcahuano,M,0-5,3,9116
2016,Talcahuano,T,0-5,3,17960.5
2016,Talcahuano,F,5-15,8,18420
2016,Talcahuano,M,5-15,8,19415.5
2016,Talcahuano,T,5-15,16,37835.5
2016,Talcahuano,F,15-25,8,21925
2016,Talcahuano,M,15-25,9,21253.5
2016,Talcahuano,T,15-25,17,43178.5
2016,Talcahuano,F,25-35,15,22393.5
2016,Talcahuano,M,25-35,3,18494.5
2016,Talcahuano,T,25-35,18,40888
2016,Talcahuano,F,35-45,10,20585
2016,Talcahuano,M,35-45,10,16416
2016,Talcahuano,T,35-45,20,37001
2016,Talcahuano,F,45-55,16,23387
2016,Talcahuano,M,45-55,11,20175.5
2016,Talcahuano,T,45-55,27,43562.5
2016,Talcahuano,F,55-65,15,19866
2016,Talcahuano,M,55-65,14,16768
2016,Talcahuano,T,55-65,29,36634
2016,Talcahuano,F,65-75,12,13859
2016,Talcahuano,M,65-75,7,10591
2016,Talcahuano,T,65-75,19,24450
2016,Talcahuano,F,>75,3,10176
2016,Talcahuano,M,>75,5,5928.5
2016,Talcahuano,T,>75,8,16104.5
2016,Bio-Bio y Los Angeles,F,0-5,0,10052
2016,Bio-Bio y Los Angeles,M,0-5,0,10419
2016,Bio-Bio y Los Angeles,T,0-5,0,20471
2016,Bio-Bio y Los Angeles,F,5-15,1,24221
2016,Bio-Bio y Los Angeles,M,5-15,0,25171
2016,Bio-Bio y Los Angeles,T,5-15,1,49392
2016,Bio-Bio y Los Angeles,F,15-25,1,27369.5
2016,Bio-Bio y Los Angeles,M,15-25,1,26736.5
2016,Bio-Bio y Los Angeles,T,15-25,2,54106
2016,Bio-Bio y Los Angeles,F,25-35,2,25297
2016,Bio-Bio y Los Angeles,M,25-35,0,21570
2016,Bio-Bio y Los Angeles,T,25-35,2,46867
2016,Bio-Bio y Los Angeles,F,35-45,0,24282
2016,Bio-Bio y Los Angeles,M,35-45,0,20241
2016,Bio-Bio y Los Angeles,T,35-45,0,44523
2016,Bio-Bio y Los Angeles,F,45-55,4,24979.5
2016,Bio-Bio y Los Angeles,M,45-55,2,23043
2016,Bio-Bio y Los Angeles,T,45-55,6,48022.5
2016,Bio-Bio y Los Angeles,F,55-65,0,18830
2016,Bio-Bio y Los Angeles,M,55-65,1,17563.5
2016,Bio-Bio y Los Angeles,T,55-65,1,36393.5
2016,Bio-Bio y Los Angeles,F,65-75,1,13229
2016,Bio-Bio y Los Angeles,M,65-75,2,11961
2016,Bio-Bio y Los Angeles,T,65-75,3,25190
2016,Bio-Bio y Los Angeles,F,>75,0,10386.5
2016,Bio-Bio y Los Angeles,M,>75,0,7611
2016,Bio-Bio y Los Angeles,T,>75,0,17997.5
2016,Valdivia,F,0-5,1,9642
2016,Valdivia,M,0-5,1,9941
2016,Valdivia,T,0-5,2,19583
2016,Valdivia,F,5-15,6,20935
2016,Valdivia,M,5-15,4,21476.5
2016,Valdivia,T,5-15,10,42411.5
2016,Valdivia,F,15-25,13,23411
2016,Valdivia,M,15-25,5,22710.5
2016,Valdivia,T,15-25,18,46121.5
2016,Valdivia,F,25-35,11,22026.5
2016,Valdivia,M,25-35,8,17595
2016,Valdivia,T,25-35,19,39621.5
2016,Valdivia,F,35-45,15,19469
2016,Valdivia,M,35-45,12,15258
2016,Valdivia,T,35-45,27,34727
2016,Valdivia,F,45-55,22,21815.5
2016,Valdivia,M,45-55,16,19145
2016,Valdivia,T,45-55,38,40960.5
2016,Valdivia,F,55-65,16,16790.5
2016,Valdivia,M,55-65,19,15254.5
2016,Valdivia,T,55-65,35,32045
2016,Valdivia,F,65-75,3,11776
2016,Valdivia,M,65-75,5,10209
2016,Valdivia,T,65-75,8,21985
2016,Valdivia,F,>75,4,9703
2016,Valdivia,M,>75,1,6695
2016,Valdivia,T,>75,5,16398
2016,Osorno,F,0-5,0,5751
2016,Osorno,M,0-5,0,5963
2016,Osorno,T,0-5,0,11714
2016,Osorno,F,5-15,6,14055.5
2016,Osorno,M,5-15,2,14630
2016,Osorno,T,5-15,8,28685.5
2016,Osorno,F,15-25,13,16046
2016,Osorno,M,15-25,4,15102
2016,Osorno,T,15-25,17,31148
2016,Osorno,F,25-35,7,15173
2016,Osorno,M,25-35,6,12554.5
2016,Osorno,T,25-35,13,27727.5
2016,Osorno,F,35-45,11,14798.5
2016,Osorno,M,35-45,12,12217.5
2016,Osorno,T,35-45,23,27016
2016,Osorno,F,45-55,18,15276
2016,Osorno,M,45-55,12,13767
2016,Osorno,T,45-55,30,29043
2016,Osorno,F,55-65,11,12073.5
2016,Osorno,M,55-65,16,10821
2016,Osorno,T,55-65,27,22894.5
2016,Osorno,F,65-75,7,8706
2016,Osorno,M,65-75,6,7376
2016,Osorno,T,65-75,13,16082
2016,Osorno,F,>75,4,7106.5
2016,Osorno,M,>75,4,4951
2016,Osorno,T,>75,8,12057.5
2016,Reloncavi,F,0-5,0,10257
2016,Reloncavi,M,0-5,0,10355.5
2016,Reloncavi,T,0-5,0,20612.5
2016,Reloncavi,F,5-15,1,24445.5
2016,Reloncavi,M,5-15,1,25311
2016,Reloncavi,T,5-15,2,49756.5
2016,Reloncavi,F,15-25,1,26785.5
2016,Reloncavi,M,15-25,0,24853.5
2016,Reloncavi,T,15-25,1,51639
2016,Reloncavi,F,25-35,1,26240.5
2016,Reloncavi,M,25-35,2,20847.5
2016,Reloncavi,T,25-35,3,47088
2016,Reloncavi,F,35-45,2,24270
2016,Reloncavi,M,35-45,1,20044.5
2016,Reloncavi,T,35-45,3,44314.5
2016,Reloncavi,F,45-55,3,24095
2016,Reloncavi,M,45-55,0,21956
2016,Reloncavi,T,45-55,3,46051
2016,Reloncavi,F,55-65,2,16689
2016,Reloncavi,M,55-65,1,15749.5
2016,Reloncavi,T,55-65,3,32438.5
2016,Reloncavi,F,65-75,0,11440.5
2016,Reloncavi,M,65-75,0,10482
2016,Reloncavi,T,65-75,0,21922.5
2016,Reloncavi,F,>75,0,8873.5
2016,Reloncavi,M,>75,0,6287.5
2016,Reloncavi,T,>75,0,15161
2016,Chiloé,F,0-5,2,4037
2016,Chiloé,M,0-5,0,4270
2016,Chiloé,T,0-5,2,8307
2016,Chiloé,F,5-15,7,10906
2016,Chiloé,M,5-15,2,11319.5
2016,Chiloé,T,5-15,9,22225.5
2016,Chiloé,F,15-25,8,12119.5
2016,Chiloé,M,15-25,2,11877
2016,Chiloé,T,15-25,10,23996.5
2016,Chiloé,F,25-35,8,11864
2016,Chiloé,M,25-35,6,9199
2016,Chiloé,T,25-35,14,21063
2016,Chiloé,F,35-45,6,11388.5
2016,Chiloé,M,35-45,12,9668.5
2016,Chiloé,T,35-45,18,21057
2016,Chiloé,F,45-55,7,10794
2016,Chiloé,M,45-55,13,10217.5
2016,Chiloé,T,45-55,20,21011.5
2016,Chiloé,F,55-65,6,7638.5
2016,Chiloé,M,55-65,5,6999.5
2016,Chiloé,T,55-65,11,14638
2016,Chiloé,F,65-75,3,5574.5
2016,Chiloé,M,65-75,4,4729.5
2016,Chiloé,T,65-75,7,10304
2016,Chiloé,F,>75,4,4845
2016,Chiloé,M,>75,0,3036
2016,Chiloé,T,>75,4,7881
2016,Aysen,F,0-5,0,2326
2016,Aysen,M,0-5,0,2365.5
2016,Aysen,T,0-5,0,4691.5
2016,Aysen,F,5-15,0,6003.5
2016,Aysen,M,5-15,2,6325
2016,Aysen,T,5-15,2,12328.5
2016,Aysen,F,15-25,8,6572
2016,Aysen,M,15-25,1,6281.5
2016,Aysen,T,15-25,9,12853.5
2016,Aysen,F,25-35,2,6878.5
2016,Aysen,M,25-35,4,5693.5
2016,Aysen,T,25-35,6,12572
2016,Aysen,F,35-45,2,6107
2016,Aysen,M,35-45,3,5110.5
2016,Aysen,T,35-45,5,11217.5
2016,Aysen,F,45-55,2,5649
2016,Aysen,M,45-55,7,5188
2016,Aysen,T,45-55,9,10837
2016,Aysen,F,55-65,8,4369
2016,Aysen,M,55-65,7,4082
2016,Aysen,T,55-65,15,8451
2016,Aysen,F,65-75,1,2649
2016,Aysen,M,65-75,5,2647
2016,Aysen,T,65-75,6,5296
2016,Aysen,F,>75,0,1791.5
2016,Aysen,M,>75,2,1502
2016,Aysen,T,>75,2,3293.5
2017,Arica y Parinacota,F,0-5,0,6595
2017,Arica y Parinacota,M,0-5,0,6809.5
2017,Arica y Parinacota,T,0-5,0,13404.5
2017,Arica y Parinacota,F,5-15,3,12836.5
2017,Arica y Parinacota,M,5-15,0,13246.5
2017,Arica y Parinacota,T,5-15,3,26083
2017,Arica y Parinacota,F,15-25,3,13507.5
2017,Arica y Parinacota,M,15-25,3,12773.5
2017,Arica y Parinacota,T,15-25,6,26281
2017,Arica y Parinacota,F,25-35,4,14163.5
2017,Arica y Parinacota,M,25-35,3,10632.5
2017,Arica y Parinacota,T,25-35,7,24796
2017,Arica y Parinacota,F,35-45,5,12094
2017,Arica y Parinacota,M,35-45,3,8419
2017,Arica y Parinacota,T,35-45,8,20513
2017,Arica y Parinacota,F,45-55,9,11502.5
2017,Arica y Parinacota,M,45-55,2,8449
2017,Arica y Parinacota,T,45-55,11,19951.5
2017,Arica y Parinacota,F,55-65,7,9059.5
2017,Arica y Parinacota,M,55-65,11,7198
2017,Arica y Parinacota,T,55-65,18,16257.5
2017,Arica y Parinacota,F,65-75,1,6737.5
2017,Arica y Parinacota,M,65-75,4,5555.5
2017,Arica y Parinacota,T,65-75,5,12293
2017,Arica y Parinacota,F,>75,4,4885
2017,Arica y Parinacota,M,>75,0,3496.5
2017,Arica y Parinacota,T,>75,4,8381.5
2017,Antofagasta,F,0-5,0,14438.5
2017,Antofagasta,M,0-5,0,14857
2017,Antofagasta,T,0-5,0,29295.5
2017,Antofagasta,F,5-15,3,27778.5
2017,Antofagasta,M,5-15,1,28826
2017,Antofagasta,T,5-15,4,56604.5
2017,Antofagasta,F,15-25,2,32813.5
2017,Antofagasta,M,15-25,2,30395.5
2017,Antofagasta,T,15-25,4,63209
2017,Antofagasta,F,25-35,5,37699.5
2017,Antofagasta,M,25-35,0,29559.5
2017,Antofagasta,T,25-35,5,67259
2017,Antofagasta,F,35-45,6,31769
2017,Antofagasta,M,35-45,2,25747
2017,Antofagasta,T,35-45,8,57516
2017,Antofagasta,F,45-55,5,27506
2017,Antofagasta,M,45-55,4,24218.5
2017,Antofagasta,T,45-55,9,51724.5
2017,Antofagasta,F,55-65,5,22336
2017,Antofagasta,M,55-65,3,20217
2017,Antofagasta,T,55-65,8,42553
2017,Antofagasta,F,65-75,4,14036.5
2017,Antofagasta,M,65-75,4,11759
2017,Antofagasta,T,65-75,8,25795.5
2017,Antofagasta,F,>75,2,10808
2017,Antofagasta,M,>75,2,6382
2017,Antofagasta,T,>75,4,17190
2017,Atacama,F,0-5,0,7860.5
2017,Atacama,M,0-5,0,8272.5
2017,Atacama,T,0-5,0,16133
2017,Atacama,F,5-15,2,17718
2017,Atacama,M,5-15,1,18392
2017,Atacama,T,5-15,3,36110
2017,Atacama,F,15-25,4,18374
2017,Atacama,M,15-25,1,18163.5
2017,Atacama,T,15-25,5,36537.5
2017,Atacama,F,25-35,5,19058
2017,Atacama,M,25-35,1,16520.5
2017,Atacama,T,25-35,6,35578.5
2017,Atacama,F,35-45,8,15932
2017,Atacama,M,35-45,1,14033
2017,Atacama,T,35-45,9,29965
2017,Atacama,F,45-55,4,16270.5
2017,Atacama,M,45-55,5,15254.5
2017,Atacama,T,45-55,9,31525
2017,Atacama,F,55-65,2,13243
2017,Atacama,M,55-65,5,12490
2017,Atacama,T,55-65,7,25733
2017,Atacama,F,65-75,3,8470.5
2017,Atacama,M,65-75,1,7807.5
2017,Atacama,T,65-75,4,16278
2017,Atacama,F,>75,2,6650.5
2017,Atacama,M,>75,1,5082
2017,Atacama,T,>75,3,11732.5
2017,Coquimbo,F,0-5,1,21550.5
2017,Coquimbo,M,0-5,1,22519.5
2017,Coquimbo,T,0-5,2,44070
2017,Coquimbo,F,5-15,2,43958
2017,Coquimbo,M,5-15,2,45956
2017,Coquimbo,T,5-15,4,89914
2017,Coquimbo,F,15-25,1,47016.5
2017,Coquimbo,M,15-25,8,46160
2017,Coquimbo,T,15-25,9,93176.5
2017,Coquimbo,F,25-35,8,49186
2017,Coquimbo,M,25-35,2,42506
2017,Coquimbo,T,25-35,10,91692
2017,Coquimbo,F,35-45,3,43260
2017,Coquimbo,M,35-45,1,36613
2017,Coquimbo,T,35-45,4,79873
2017,Coquimbo,F,45-55,7,43258
2017,Coquimbo,M,45-55,6,38173
2017,Coquimbo,T,45-55,13,81431
2017,Coquimbo,F,55-65,3,35513.5
2017,Coquimbo,M,55-65,5,31950.5
2017,Coquimbo,T,55-65,8,67464
2017,Coquimbo,F,65-75,3,23678
2017,Coquimbo,M,65-75,5,20583.5
2017,Coquimbo,T,65-75,8,44261.5
2017,Coquimbo,F,>75,1,20223
2017,Coquimbo,M,>75,0,14178.5
2017,Coquimbo,T,>75,1,34401.5
2017,Viña del Mar y Quillota,F,0-5,0,23247.5
2017,Viña del Mar y Quillota,M,0-5,0,23661
2017,Viña del Mar y Quillota,T,0-5,0,46908.5
2017,Viña del Mar y Quillota,F,5-15,2,47851.5
2017,Viña del Mar y Quillota,M,5-15,1,49783.5
2017,Viña del Mar y Quillota,T,5-15,3,97635
2017,Viña del Mar y Quillota,F,15-25,1,55764.5
2017,Viña del Mar y Quillota,M,15-25,2,54194.5
2017,Viña del Mar y Quillota,T,15-25,3,109959
2017,Viña del Mar y Quillota,F,25-35,2,61260
2017,Viña del Mar y Quillota,M,25-35,1,50038
2017,Viña del Mar y Quillota,T,25-35,3,111298
2017,Viña del Mar y Quillota,F,35-45,1,52726.5
2017,Viña del Mar y Quillota,M,35-45,1,42086
2017,Viña del Mar y Quillota,T,35-45,2,94812.5
2017,Viña del Mar y Quillota,F,45-55,2,55118
2017,Viña del Mar y Quillota,M,45-55,0,45564.5
2017,Viña del Mar y Quillota,T,45-55,2,100682.5
2017,Viña del Mar y Quillota,F,55-65,3,50022
2017,Viña del Mar y Quillota,M,55-65,7,41171
2017,Viña del Mar y Quillota,T,55-65,10,91193
2017,Viña del Mar y Quillota,F,65-75,0,34856.5
2017,Viña del Mar y Quillota,M,65-75,3,27908.5
2017,Viña del Mar y Quillota,T,65-75,3,62765
2017,Viña del Mar y Quillota,F,>75,1,31315.5
2017,Viña del Mar y Quillota,M,>75,1,18451.5
2017,Viña del Mar y Quillota,T,>75,2,49767
2017,Aconcagua,F,0-5,0,7294
2017,Aconcagua,M,0-5,0,7536
2017,Aconcagua,T,0-5,0,14830
2017,Aconcagua,F,5-15,0,15164.5
2017,Aconcagua,M,5-15,0,15635.5
2017,Aconcagua,T,5-15,0,30800
2017,Aconcagua,F,15-25,3,16608
2017,Aconcagua,M,15-25,1,16517.5
2017,Aconcagua,T,15-25,4,33125.5
2017,Aconcagua,F,25-35,1,17400.5
2017,Aconcagua,M,25-35,1,14928.5
2017,Aconcagua,T,25-35,2,32329
2017,Aconcagua,F,35-45,0,15272
2017,Aconcagua,M,35-45,0,13235
2017,Aconcagua,T,35-45,0,28507
2017,Aconcagua,F,45-55,1,15966
2017,Aconcagua,M,45-55,0,14030.5
2017,Aconcagua,T,45-55,1,29996.5
2017,Aconcagua,F,55-65,0,13328
2017,Aconcagua,M,55-65,3,11946
2017,Aconcagua,T,55-65,3,25274
2017,Aconcagua,F,65-75,2,8845
2017,Aconcagua,M,65-75,0,8076.5
2017,Aconcagua,T,65-75,2,16921.5
2017,Aconcagua,F,>75,0,7104
2017,Aconcagua,M,>75,1,4926.5
2017,Aconcagua,T,>75,1,12030.5
2017,Metropolitano Norte,F,0-5,3,23034.5
2017,Metropolitano Norte,M,0-5,0,23626.5
2017,Metropolitano Norte,T,0-5,3,46661
2017,Metropolitano Norte,F,5-15,4,48164
2017,Metropolitano Norte,M,5-15,3,50349
2017,Metropolitano Norte,T,5-15,7,98513
2017,Metropolitano Norte,F,15-25,5,53862
2017,Metropolitano Norte,M,15-25,2,48666
2017,Metropolitano Norte,T,15-25,7,102528
2017,Metropolitano Norte,F,25-35,13,56688
2017,Metropolitano Norte,M,25-35,4,44595
