year,region,edad,sexo,cases,py
2016,Atacama,15-25,T,7,36240.5
2016,Atacama,25-35,F,5,18072
2016,Atacama,25-35,M,2,15426.5
2016,Atacama,25-35,T,7,33498.5
2016,Atacama,35-45,F,11,15403.5
2016,Atacama,35-45,M,7,13550
2016,Atacama,35-45,T,18,28953.5
2016,Atacama,45-55,F,4,15981.5
2016,Atacama,45-55,M,7,14882
2016,Atacama,45-55,T,11,30863.5
2016,Atacama,55-65,F,10,12548
2016,Atacama,55-65,M,8,11750
2016,Atacama,55-65,T,18,24298
2016,Atacama,65-75,F,4,8256.5
2016,Atacama,65-75,M,1,7536.5
2016,Atacama,65-75,T,5,15793
2016,Atacama,>75,F,2,6182.5
2016,Atacama,>75,M,1,4752
2016,Atacama,>75,T,3,10934.5
2016,Coquimbo,0-5,F,0,21474
2016,Coquimbo,0-5,M,0,22338
2016,Coquimbo,0-5,T,0,43812
2016,Coquimbo,5-15,F,0,42275.5
2016,Coquimbo,5-15,M,0,44222.5
2016,Coquimbo,5-15,T,0,86498
2016,Coquimbo,15-25,F,0,45970.5
2016,Coquimbo,15-25,M,0,44932
2016,Coquimbo,15-25,T,0,90902.5
2016,Coquimbo,25-35,F,0,46207.5
2016,Coquimbo,25-35,M,0,39728.5
2016,Coquimbo,25-35,T,0,85936
2016,Coquimbo,35-45,F,0,41653.5
2016,Coquimbo,35-45,M,0,35078
2016,Coquimbo,35-45,T,0,76731.5
2016,Coquimbo,45-55,F,0,41889.5
2016,Coquimbo,45-55,M,1,36944
2016,Coquimbo,45-55,T,1,78833.5
2016,Coquimbo,55-65,F,1,33516.5
2016,Coquimbo,55-65,M,1,29999.5
2016,Coquimbo,55-65,T,2,63516
2016,Coquimbo,65-75,F,0,23122
2016,Coquimbo,65-75,M,0,19945.5
2016,Coquimbo,65-75,T,0,43067.5
2016,Coquimbo,>75,F,0,18839
2016,Coquimbo,>75,M,0,13080
2016,Coquimbo,>75,T,0,31919
2016,Valparaiso,0-5,F,1,22678.5
2016,Valparaiso,0-5,M,0,23240.5
2016,Valparaiso,0-5,T,1,45919
2016,Valparaiso,5-15,F,0,46339.5
2016,Valparaiso,5-15,M,0,48026.5
2016,Valparaiso,5-15,T,0,94366
2016,Valparaiso,15-25,F,0,54583.5
2016,Valparaiso,15-25,M,2,52646.5
2016,Valparaiso,15-25,T,2,107230
2016,Valparaiso,25-35,F,2,57645
2016,Valparaiso,25-35,M,3,46648
2016,Valparaiso,25-35,T,5,104293
2016,Valparaiso,35-45,F,2,50379
2016,Valparaiso,35-45,M,1,39624
2016,Valparaiso,35-45,T,3,90003
2016,Valparaiso,45-55,F,2,53909
2016,Valparaiso,45-55,M,0,44295.5
2016,Valparaiso,45-55,T,2,98204.5
2016,Valparaiso,55-65,F,2,46927
2016,Valparaiso,55-65,M,2,38396.5
2016,Valparaiso,55-65,T,4,85323.5
2016,Valparaiso,65-75,F,0,33867
2016,Valparaiso,65-75,M,1,26673
2016,Valparaiso,65-75,T,1,60540
2016,Valparaiso,>75,F,2,29301
2016,Valparaiso,>75,M,1,16952
2016,Valparaiso,>75,T,3,46253
2016,Metropolitana,0-5,F,7,121429
2016,Metropolitana,0-5,M,6,125857.5
2016,Metropolitana,0-5,T,13,247286.5
2016,Metropolitana,5-15,F,43,256955
2016,Metropolitana,5-15,M,26,268767.5
2016,Metropolitana,5-15,T,69,525722.5
2016,Metropolitana,15-25,F,41,300330.5
2016,Metropolitana,15-25,M,31,273166
2016,Metropolitana,15-25,T,72,573496.5
2016,Metropolitana,25-35,F,45,313174.5
2016,Metropolitana,25-35,M,14,236826
2016,Metropolitana,25-35,T,59,550000.5
2016,Metropolitana,35-45,F,46,280613.5
2016,Metropolitana,35-45,M,45,218764
2016,Metropolitana,35-45,T,91,499377.5
2016,Metropolitana,45-55,F,78,301438
2016,Metropolitana,45-55,M,62,241112.5
2016,Metropolitana,45-55,T,140,542550.5
2016,Metropolitana,55-65,F,65,256160.5
2016,Metropolitana,55-65,M,55,203737
2016,Metropolitana,55-65,T,120,459897.5
2016,Metropolitana,65-75,F,33,182247
2016,Metropolitana,65-75,M,37,138040.5
2016,Metropolitana,65-75,T,70,320287.5
2016,Metropolitana,>75,F,13,149556.5
2016,Metropolitana,>75,M,6,79449
2016,Metropolitana,>75,T,19,229005.5
2016,Maule,0-5,F,3,26541
2016,Maule,0-5,M,7,27382.5
2016,Maule,0-5,T,10,53923.5
2016,Maule,5-15,F,11,57636
2016,Maule,5-15,M,15,60753.5
2016,Maule,5-15,T,26,118389.5
2016,Maule,15-25,F,16,65805
2016,Maule,15-25,M,9,63406
2016,Maule,15-25,T,25,129211
2016,Maule,25-35,F,25,64744.5
2016,Maule,25-35,M,13,53139
2016,Maule,25-35,T,38,117883.5
2016,Maule,35-45,F,36,60721
2016,Maule,35-45,M,20,50032
2016,Maule,35-45,T,56,110753
2016,Maule,45-55,F,40,64396
2016,Maule,45-55,M,28,57336.5
2016,Maule,45-55,T,68,121732.5
2016,Maule,55-65,F,39,49990
2016,Maule,55-65,M,25,46524.5
2016,Maule,55-65,T,64,96514.5
2016,Maule,65-75,F,15,33810.5
2016,Maule,65-75,M,20,31255.5
2016,Maule,65-75,T,35,65066
2016,Maule,>75,F,2,25021.5
2016,Maule,>75,M,7,18568
2016,Maule,>75,T,9,43589.5
2016,Bio-Bio y Los Angeles,0-5,F,3,30366.5
2016,Bio-Bio y Los Angeles,0-5,M,5,31420
2016,Bio-Bio y Los Angeles,0-5,T,8,61786.5
2016,Bio-Bio y Los Angeles,5-15,F,19,68513
2016,Bio-Bio y Los Angeles,5-15,M,15,71412
2016,Bio-Bio y Los Angeles,5-15,T,34,139925
2016,Bio-Bio y Los Angeles,15-25,F,19,79739.5
2016,Bio-Bio y Los Angeles,15-25,M,18,77367
2016,Bio-Bio y Los Angeles,15-25,T,37,157106.5
2016,Bio-Bio y Los Angeles,25-35,F,27,77074
